instance_id,solver_name,n_backdoor_leaves,backdoor_depth,whole_runtime,whole_decisions,whole_propagations,whole_restarts,whole_conflicts,leaves_runtime,leaves_decisions,leaves_propagations,leaves_restarts,leaves_conflicts,tautology_check_runtime
76,cadical153,545,12,3.7241900430017267,54991,92372,26,12732,0.0010459069999342319,0,5718,0,584,0.00433891099964967
76,lingeling,545,12,38.39639364300092,152330,223639,1,21309,0.0013284939996083267,5008,5050,0,536,0.008839467000143486
77,minisat22,546,11,1.7399194149984396,28344,39071,23,4474,0.0010720509999373462,0,5803,546,622,0.0030887339999026153
77,glucose41,546,11,7.86955233000117,95635,163758,18,22721,0.0011819280007330235,0,5803,546,622,0.004006769999250537
77,cadical153,546,11,3.7427829609987384,34726,55155,73,7449,0.00039078400004655123,0,5817,0,619,0.003410625000469736
77,lingeling,546,11,35.684155529001146,135117,205505,1,21328,0.001795518999642809,4994,5059,0,541,0.008285567000712035
78,minisat22,543,12,1.591013450999526,28451,37024,21,3858,0.0013540959989768453,0,5811,543,678,0.002784296999379876
78,glucose41,543,12,4.293682260999049,49799,73383,24,9482,0.0014774089995626127,0,5811,543,678,0.003903697001078399
78,cadical153,543,12,4.699545494999256,63441,107884,76,14596,0.0015087530009623151,0,5870,0,684,0.00559598499967251
78,lingeling,543,12,17.128157487999488,70824,102389,2,10901,0.005308100999172893,4883,4960,0,535,0.007945658000608091
79,minisat22,548,12,2.0868195569983072,31865,42721,25,4738,0.0027617220002866816,0,5811,548,629,0.0031485829986195313
79,glucose41,548,12,5.351287379000496,64092,92681,20,12019,0.0029222419998404803,0,5811,548,629,0.004237807001118199
79,cadical153,548,12,4.775606777000576,73278,123339,19,16530,0.0025702279999677557,0,5843,0,631,0.0034314220010855934
79,lingeling,548,12,38.434593370000584,151860,225282,1,22330,0.00597205399935774,5061,5103,0,545,0.00919977299963648
80,minisat22,542,12,1.7039158010011306,31927,43798,29,5320,0.0018505320003896486,0,5793,542,656,0.002994344999024179
80,glucose41,542,12,5.603314546999172,58440,85348,23,10832,0.002409976999842911,0,5793,542,656,0.005035015999965253
80,cadical153,542,12,6.17528621999918,79890,139093,23,20143,0.003200384999217931,0,5856,0,665,0.003838603999611223
80,lingeling,542,12,26.2126830670004,98552,150269,2,16969,0.0035719759998755762,4981,5049,0,541,0.0086847550010134
81,minisat22,544,12,1.1037733649991424,27591,36961,22,4130,0.001479553000535816,0,5439,544,635,0.0021745780013588956
81,glucose41,544,12,3.0910728039998503,42932,73999,11,10599,0.001568568999573472,0,5439,544,635,0.003988761000073282
81,cadical153,544,12,3.2333742110004096,50877,93729,17,13364,0.00026738099950307515,0,5457,0,636,0.002410469000096782
81,lingeling,544,12,12.818982658000095,57856,87102,4,10092,0.003330073999677552,4673,4734,0,537,0.00590963099966757
82,minisat22,546,11,1.5894541649995517,30499,41376,24,4534,0.0014907610002410365,0,5636,546,588,0.002687723999770242
82,glucose41,546,11,5.1946056010001485,66915,105293,19,13879,0.0016010079998522997,0,5636,546,588,0.004135320999921532
82,cadical153,546,11,4.286084529998334,63624,107661,28,14303,0.0021781779996672412,0,5671,0,596,0.009340238000731915
82,lingeling,546,11,36.06555214599939,156415,229898,1,21325,0.00873979199968744,4958,4983,0,541,0.007845792000807705
